#Model parameters: ε_Inf=5.350000 ε_S=32.400000 freq=5.48451e+12 mb=0.082000 
#Params in SI: ω =3.44602e+13 mb=7.46969e-32 
#Alpha parameter: α = 1.094468  
# CsSnBr3 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus
10 26.321465 6.18377e+13 3.45561e+12 3.52399e+12 3.00459 2.73131 1.56749 0.210118 -0.690156 1.1396 0.381379 -0.830819 2.19207e+10 
20 13.160733 1.17174e+08 1.28957e+07 1.33549e+07 2.8849 2.60004 1.56247 0.231127 -0.906812 1.1538 0.384803 -0.631795 42257.6 
30 8.773822 1.43145e+06 233696 244725 2.78166 2.48208 1.57694 0.255967 -1.09592 1.17029 0.390337 -0.46471 526.654 
40 6.580366 156635 33792.3 35705 2.74313 2.42379 1.64997 0.280857 -1.271 1.19069 0.401136 -0.320823 58.7707 
50 5.264293 41220.8 11011.6 11745.4 2.75447 2.4121 1.76888 0.304024 -1.43487 1.21617 0.415209 -0.19651 15.7462 
60 4.386911 16867.1 5332.38 5767.3 2.84049 2.47208 1.95724 0.320273 -1.59164 1.24662 0.433847 -0.0888331 6.52343 
70 3.760209 8898.55 3219.16 3549.76 2.9763 2.58091 2.19722 0.329857 -1.7409 1.28111 0.454748 0.00503477 3.46654 
80 3.290183 5505.27 2222.75 2509.86 3.13105 2.7092 2.46368 0.335661 -1.88175 1.31856 0.475609 0.0875814 2.15401 
90 2.924607 3794.35 1674.93 1946.08 3.3176 2.86985 2.77044 0.336379 -2.01612 1.358 0.497281 0.160837 1.48538 
100 2.632147 2818.58 1339.89 1606.24 3.50813 3.03559 3.09211 0.335558 -2.14307 1.39867 0.518008 0.226394 1.10272 
110 2.392860 2212.6 1118.59 1387 3.70886 3.21267 3.43441 0.332751 -2.26366 1.43999 0.538184 0.285479 0.863822 
120 2.193455 1808.94 963.438 1237.05 3.90604 3.38713 3.78454 0.329875 -2.37796 1.4816 0.557317 0.339042 0.704703 
130 2.024728 1528.97 849.86 1132.72 4.12988 3.58907 4.17447 0.324068 -2.48813 1.52318 0.577129 0.387818 0.593036 
140 1.880105 1323.23 763.401 1055.71 4.33559 3.77389 4.55509 0.319829 -2.59201 1.56454 0.595091 0.432385 0.511595 
