#Model parameters: ε_Inf=6.100000 ε_S=18.100000 freq=2.57e+12 mb=0.120000 
#Params in SI: ω =1.61478e+13 mb=1.09313e-31 
#Alpha parameter: α = 1.347081  
# CsPbI3-electron 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus, rfsis
#  1    2     3    4     5     6   7    8  9   10  11  12  13  14 15
10 12.334040 5.71126e+07 6.73052e+06 6.94573e+06 2.90651 2.54559 1.9678 0.303671 -1.03819 1.43447 0.479444 -0.875722 31918.3 8.07342e-09 
20 6.167020 113883 26516 27699.6 2.7728 2.36294 2.10491 0.376989 -1.42649 1.48698 0.502757 -0.563248 67.2245 7.62436e-09 
30 4.111347 13952.3 4771.45 5090.41 2.94422 2.46538 2.5903 0.426168 -1.7751 1.56609 0.550829 -0.341819 8.53014 7.08225e-09 
40 3.083510 4859.83 2116.94 2364.11 3.28625 2.73664 3.3102 0.441995 -2.08836 1.66469 0.606419 -0.182753 3.00417 6.61888e-09 
50 2.466808 2591.28 1322.79 1575.69 3.70266 3.08755 4.17672 0.438136 -2.3688 1.77193 0.660956 -0.0640845 1.59755 6.25461e-09 
60 2.055673 1713.8 973.721 1250.54 4.15778 3.48307 5.15536 0.424947 -2.6214 1.88131 0.712702 0.027392 1.04688 5.96572e-09 
70 1.762006 1282.6 784.48 1091.88 4.63845 3.90929 6.23269 0.407831 -2.85062 1.98964 0.761733 0.0992486 0.774074 5.73073e-09 
80 1.541755 1036.4 667.512 1008.33 5.13295 4.3536 7.39333 0.390071 -3.05954 2.0955 0.808054 0.15599 0.617595 5.53509e-09 
90 1.370449 881.026 588.499 964.311 5.63785 4.81183 8.63169 0.3728 -3.25081 2.1983 0.852049 0.200456 0.518484 5.36872e-09 
100 1.233404 775.655 531.59 943.31 6.14989 5.28009 9.94181 0.356601 -3.42643 2.29789 0.893989 0.234547 0.451087 5.22471e-09 
