#Model parameters: ε_Inf=4.800000 ε_S=29.400000 freq=7.28271e+12 mb=0.140000 
#Params in SI: ω =4.57586e+13 mb=1.27531e-31 
#Alpha parameter: α = 1.386311  
# CsSnCl3 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus
10 34.951454 1.13654e+17 4.81294e+15 4.87766e+15 3.07284 2.72144 2.0361 0.274916 -0.748073 1.45224 0.487704 -1.19187 7.24692e+13 
20 17.475727 2.88208e+09 2.41512e+08 2.47379e+08 2.98524 2.62286 2.03226 0.295411 -0.924656 1.46585 0.491002 -1.0322 1.86724e+06 
30 11.650485 8.37115e+06 1.04415e+06 1.07779e+06 2.89843 2.52339 2.0334 0.31934 -1.07963 1.48079 0.495 -0.896155 5523.68 
40 8.737863 446756 73939.2 76693.2 2.82646 2.43608 2.05443 0.346186 -1.22217 1.49766 0.500995 -0.776488 300.789 
50 6.990291 76363.2 15750.9 16386.3 2.78296 2.37398 2.1091 0.374235 -1.3569 1.5174 0.509961 -0.670463 52.4846 
60 5.825242 23387.1 5768.13 6022.19 2.79399 2.36242 2.22534 0.398733 -1.48796 1.5407 0.52395 -0.576686 16.3606 
70 4.993065 10003.3 2863.12 3005.16 2.83954 2.3833 2.38287 0.419512 -1.61434 1.56766 0.5406 -0.493921 7.10182 
80 4.368932 5277.92 1712.61 1812.08 2.91204 2.43018 2.5742 0.435877 -1.73585 1.59793 0.558769 -0.420853 3.79023 
90 3.883495 3206.08 1157.14 1238.35 3.00947 2.50143 2.79978 0.447454 -1.85319 1.631 0.578352 -0.356168 2.32095 
100 3.495145 2151.41 850.143 923.312 3.126 2.59197 3.05353 0.454508 -1.96613 1.66625 0.598533 -0.298659 1.56504 
110 3.177405 1552.99 663.074 733.14 3.25866 2.69905 3.33401 0.457662 -2.07506 1.70316 0.619171 -0.247272 1.13217 
120 2.912621 1184.37 540.508 609.949 3.40081 2.81637 3.63358 0.458096 -2.17974 1.74125 0.639614 -0.201123 0.863692 
130 2.688573 942.036 455.565 525.578 3.54439 2.93606 3.94225 0.457313 -2.27989 1.78014 0.659231 -0.15948 0.686605 
140 2.496532 774.688 393.995 465.459 3.69306 3.0615 4.2659 0.455137 -2.37638 1.81955 0.678578 -0.121743 0.56379 
150 2.330097 655.448 347.825 421.945 3.86494 3.2108 4.62853 0.448971 -2.47073 1.85923 0.698929 -0.0874233 0.47499 
160 2.184466 565.534 312.05 388.334 4.01292 3.33719 4.96664 0.445964 -2.55963 1.899 0.716755 -0.0561195 0.408981 
170 2.055968 497.322 283.729 362.838 4.17604 3.47933 5.33357 0.440581 -2.64633 1.93872 0.735113 -0.0275018 0.358312 
180 1.941747 444.473 260.857 343.356 4.35667 3.63953 5.73443 0.432912 -2.73121 1.9783 0.75421 -0.00129711 0.318531 
190 1.839550 401.275 241.939 327.207 4.50754 3.77079 6.09905 0.428941 -2.8109 2.01763 0.770545 0.0227214 0.286776 
200 1.747573 366.999 226.196 315.007 4.68828 3.93242 6.516 0.421366 -2.88994 2.05668 0.788508 0.0447447 0.26089 
210 1.664355 338.531 212.834 305.101 4.86328 4.08886 6.93273 0.414667 -2.96596 2.0954 0.805623 0.0649339 0.239519 
220 1.588702 314.376 201.33 296.823 5.02498 4.23239 7.33733 0.409606 -3.03871 2.13376 0.821517 0.0834262 0.221632 
230 1.519628 294.231 191.397 290.431 5.20025 4.38999 7.77053 0.403202 -3.10997 2.17174 0.837892 0.100339 0.206488 
240 1.456311 277.216 182.737 285.532 5.3861 4.55868 8.22854 0.395954 -3.17963 2.20931 0.854547 0.115775 0.193542 
250 1.398058 263.119 175.185 282.305 5.60407 4.7601 8.74705 0.386037 -3.24902 2.24647 0.872728 0.129823 0.182396 
260 1.344287 249.602 168.298 278.514 5.7498 4.88927 9.15521 0.382983 -3.31203 2.28322 0.886247 0.142559 0.172644 
270 1.294498 238.372 162.226 276.213 5.93451 5.05794 9.63556 0.376642 -3.37545 2.31956 0.901833 0.154053 0.16412 
280 1.248266 228.462 156.764 274.535 6.11922 5.22701 10.1232 0.37052 -3.43692 2.35548 0.917073 0.164366 0.156598 
290 1.205223 219.912 151.858 273.699 6.32286 5.41539 10.652 0.363222 -3.49769 2.391 0.933142 0.173551 0.149935 
300 1.165048 212.034 147.36 272.993 6.50772 5.58522 11.1557 0.357614 -3.5556 2.42611 0.947833 0.181657 0.143969 
310 1.127466 204.297 143.14 271.8 6.63839 5.70066 11.5707 0.356049 -3.60895 2.46082 0.9594 0.188729 0.138556 
320 1.092233 198.191 139.413 272.182 6.84313 5.89114 12.1229 0.349306 -3.66458 2.49513 0.974637 0.194805 0.133746 
330 1.059135 192.437 135.94 272.539 7.02859 6.06235 12.6491 0.344174 -3.71769 2.52907 0.988697 0.199923 0.129369 
340 1.027984 187.261 132.736 273.244 7.22002 6.23974 13.1943 0.338886 -3.76966 2.56264 1.00291 0.204116 0.125394 
350 0.998613 182.28 129.721 273.8 7.38453 6.39029 13.6954 0.335377 -3.81869 2.59582 1.01546 0.207414 0.121739 
360 0.970874 177.968 126.959 274.961 7.57566 6.56794 14.2527 0.330399 -3.86764 2.62865 1.02915 0.209845 0.118416 
370 0.944634 173.906 124.361 276.149 7.75609 6.73493 14.7978 0.326235 -3.91476 2.66113 1.04219 0.211435 0.115351 
380 0.919775 170.226 121.942 277.61 7.94331 6.90903 15.3614 0.321809 -3.96079 2.69326 1.05532 0.212209 0.112533 
390 0.896191 166.44 119.603 278.58 8.08285 7.03513 15.8394 0.320033 -4.00328 2.72506 1.06604 0.212188 0.109883 
400 0.873786 163.732 117.545 281.074 8.32705 7.26704 16.5299 0.313007 -4.04957 2.75654 1.08164 0.211395 0.10752 
