#Model parameters: ε_Inf=6.050000 ε_S=48.200000 freq=4.55544e+12 mb=0.069000 
#Params in SI: ω =2.86227e+13 mb=6.28547e-32 
#Alpha parameter: α = 1.020355  
# CsSnI3 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus, rfsis
#  1    2     3    4     5     6   7    8  9   10  11  12  13  14 15
10 21.862638 1.11283e+12 7.45545e+10 7.63518e+10 2.97044 2.71521 1.45115 0.196836 -0.708261 1.06261 0.355113 -0.709461 3.28301e+08 1.26536e-08 
20 10.931319 1.95464e+07 2.57255e+06 2.68217e+06 2.82693 2.55805 1.44792 0.221271 -0.956266 1.07902 0.359278 -0.48203 5884.2 1.23579e-08 
30 7.287546 500466 97560.7 103011 2.7252 2.4377 1.48433 0.249786 -1.17246 1.09933 0.367362 -0.294233 154.176 1.19838e-08 
40 5.465659 79235.6 20341.9 21745.5 2.72761 2.41511 1.60711 0.275532 -1.37249 1.12604 0.382617 -0.136174 24.9126 1.1522e-08 
50 4.372528 26075.2 8222.35 8945.13 2.82577 2.48437 1.81286 0.293718 -1.56036 1.1596 0.403279 -0.00251213 8.31524 1.1042e-08 
60 3.643773 12403.2 4579.57 5105.9 2.98409 2.6128 2.07812 0.304411 -1.73646 1.19863 0.42625 0.111586 3.98799 1.05982e-08 
70 3.123234 7295.1 3046.18 3503.63 3.18026 2.77954 2.38816 0.309112 -1.90147 1.24138 0.449851 0.210235 2.35405 1.02061e-08 
80 2.732830 4904.4 2256.84 2691.93 3.40083 2.97184 2.73379 0.309538 -2.05627 1.28639 0.473266 0.296616 1.58311 9.86439e-09 
90 2.429182 3606.39 1793.3 2226.92 3.6383 3.18238 3.10972 0.307056 -2.20183 1.33259 0.496161 0.373083 1.16191 9.56641e-09 
100 2.186264 2824.3 1494.84 1937.76 3.88797 3.40644 3.51241 0.302693 -2.33901 1.37924 0.518408 0.441364 0.906904 9.30505e-09 
110 1.987513 2315.66 1289.27 1747.66 4.14696 3.64109 3.9397 0.297166 -2.46859 1.42586 0.539995 0.502732 0.740419 9.07389e-09 
120 1.821886 1967.63 1140.48 1619.99 4.43522 3.90616 4.41305 0.289226 -2.5923 1.47215 0.562008 0.558145 0.625288 8.86642e-09 
130 1.681741 1712.03 1027.73 1527.01 4.68373 4.13253 4.85946 0.284548 -2.70739 1.51791 0.581154 0.608335 0.542087 8.68284e-09 
140 1.561617 1522.85 940.056 1462.76 4.95997 4.38757 5.35045 0.277934 -2.81772 1.563 0.600841 0.653871 0.479702 8.51538e-09 
150 1.457509 1377.04 869.885 1417.18 5.23969 4.64693 5.86037 0.27139 -2.92256 1.60738 0.619972 0.695209 0.43155 8.36277e-09 
160 1.366415 1261.79 812.473 1385.15 5.52102 4.90865 6.38677 0.265068 -3.02222 1.65099 0.638514 0.732716 0.393467 8.22298e-09 
170 1.286038 1168.91 764.64 1363.39 5.80551 5.17423 6.93132 0.258896 -3.11713 1.69383 0.656597 0.766696 0.362727 8.09417e-09 
180 1.214591 1092.69 724.148 1349.45 6.09165 5.44207 7.49198 0.252969 -3.2075 1.7359 0.6742 0.797401 0.337476 7.97497e-09 
190 1.150665 1029.33 689.423 1341.83 6.38289 5.71559 8.0733 0.247132 -3.29379 1.77721 0.691532 0.825048 0.316428 7.864e-09 
200 1.093132 975.62 659.242 1338.75 6.66957 5.98506 8.66221 0.241819 -3.37579 1.81778 0.708194 0.849822 0.298639 7.76059e-09 
210 1.041078 930.844 632.934 1341.17 6.98652 6.28543 9.30492 0.235528 -3.45511 1.85762 0.725604 0.871883 0.28349 7.66363e-09 
220 0.993756 890.427 609.359 1344.03 7.25232 6.53478 9.89281 0.231664 -3.52881 1.89676 0.740677 0.891372 0.270332 7.57249e-09 
230 0.950549 856.109 588.459 1350.97 7.54517 6.81174 10.5298 0.226935 -3.60005 1.93523 0.756406 0.908416 0.258916 7.48661e-09 
240 0.910943 825.996 569.672 1360.12 7.83827 7.08933 11.1799 0.222448 -3.66797 1.97305 0.771802 0.923124 0.248895 7.40544e-09 
250 0.874506 799.43 552.683 1371.23 8.13315 7.36905 11.8452 0.218131 -3.73277 2.01024 0.786935 0.935598 0.240039 7.32856e-09 
260 0.840871 775.813 537.225 1383.95 8.42861 7.64969 12.5238 0.214016 -3.79454 2.04683 0.801787 0.945929 0.232161 7.25556e-09 
270 0.809727 754.673 523.084 1398.01 8.7236 7.93015 13.2139 0.210121 -3.85337 2.08284 0.816339 0.954199 0.22511 7.18608e-09 
280 0.780808 736.373 510.211 1414.64 9.0515 8.24403 13.9656 0.205486 -3.91046 2.11829 0.83169 0.960483 0.21881 7.12016e-09 
