#Model parameters: ε_Inf=4.500000 ε_S=24.100000 freq=2.25e+12 mb=0.150000 
#Params in SI: ω =1.41372e+13 mb=1.36641e-31 
#Alpha parameter: α = 2.676564  
# MAPI-hole 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus, rfsis
#  1    2     3    4     5     6   7    8  9   10  11  12  13  14 15
10 10.798284 3.92317e+06 547900 544972 3.12928 2.29088 4.5443 0.865893 -1.75679 3.0141 1.02468 -2.28199 3922.6 5.15793e-09 
20 5.399142 15718.4 4571.84 4366.92 3.13776 2.14271 5.25433 1.14443 -2.25971 3.17365 1.10764 -2.02158 18.0622 4.80327e-09 
30 3.599428 2378.95 1042.93 991.387 3.49652 2.31855 6.84996 1.27426 -2.72438 3.38803 1.23583 -1.89947 2.89918 4.44079e-09 
40 2.699571 926.252 518.614 514.666 3.99399 2.65124 8.92288 1.26942 -3.13261 3.62936 1.36482 -1.86157 1.1264 4.15851e-09 
50 2.159657 534.28 347.657 371.087 4.54705 3.06112 11.3053 1.20648 -3.49231 3.87747 1.48514 -1.8703 0.631712 3.94195e-09 
60 1.799714 376.273 269.063 313.61 5.12867 3.51641 13.9381 1.12721 -3.81367 4.12286 1.59701 -1.9062 0.428906 3.77039e-09 
70 1.542612 296.732 225.303 288.535 5.72662 4.00068 16.7887 1.04894 -4.10379 4.36159 1.70161 -1.95941 0.325794 3.63017e-09 
80 1.349786 250.726 197.767 278.629 6.33464 4.50465 19.8358 0.977525 -4.36766 4.59228 1.80007 -2.0247 0.265687 3.51255e-09 
90 1.199809 221.906 178.99 277.427 6.96366 5.03748 23.1164 0.91095 -4.61045 4.81468 1.89489 -2.09912 0.227231 3.4115e-09 
100 1.079828 201.642 165.156 280.103 7.56806 5.55108 26.461 0.85872 -4.83023 5.0291 1.98203 -2.1809 0.200837 3.32411e-09 
110 0.981662 187.784 154.72 286.937 8.20637 6.10425 30.0828 0.807335 -5.03554 5.23596 2.06852 -2.26893 0.181864 3.24641e-09 
120 0.899857 177.241 146.385 295.448 8.83128 6.64796 33.7961 0.764697 -5.22316 5.43577 2.14985 -2.36246 0.167604 3.17735e-09 
130 0.830637 168.96 139.524 305.116 9.44351 7.18216 37.5965 0.728849 -5.39509 5.6291 2.22693 -2.46095 0.156528 3.11515e-09 
140 0.771306 162.602 133.821 316.221 10.0653 7.72949 41.5651 0.695708 -5.55428 5.81637 2.30191 -2.56401 0.14775 3.05869e-09 
150 0.719886 157.567 128.965 328.317 10.6922 8.28464 45.6869 0.665648 -5.70168 5.99811 2.37491 -2.67134 0.140636 3.00693e-09 
160 0.674893 153.476 124.755 341.113 11.3194 8.84266 49.9365 0.638635 -5.83764 6.17469 2.44565 -2.7827 0.134764 2.9593e-09 
170 0.635193 150.107 121.054 354.475 11.9469 9.40314 54.3098 0.614232 -5.96292 6.3465 2.51433 -2.89791 0.129842 2.91525e-09 
180 0.599905 147.479 117.804 368.757 12.5956 9.98717 58.9048 0.590563 -6.07986 6.51387 2.58277 -3.01678 0.125699 2.87422e-09 
190 0.568331 145.119 114.848 383.013 13.2256 10.554 63.5282 0.570334 -6.18585 6.67711 2.64792 -3.13918 0.122114 2.83603e-09 
200 0.539914 142.914 112.125 397.047 13.8282 11.0948 68.1269 0.553456 -6.28091 6.83648 2.70941 -3.26498 0.118966 2.80034e-09 
210 0.514204 141.198 109.681 411.893 14.4559 11.6625 72.9595 0.536416 -6.36948 6.99224 2.77129 -3.39406 0.116248 2.76674e-09 
220 0.490831 139.724 107.437 427.003 15.0844 12.2324 77.9059 0.520649 -6.45018 7.14462 2.83188 -3.52632 0.113855 2.73505e-09 
230 0.469491 138.57 105.391 442.724 15.7334 12.8246 83.0676 0.505059 -6.52467 7.2938 2.89255 -3.66168 0.111756 2.70509e-09 
240 0.449929 137.432 103.461 458.18 16.3584 13.3936 88.208 0.491711 -6.59033 7.43999 2.95037 -3.80003 0.109856 2.67672e-09 
250 0.431931 136.333 101.639 473.454 16.9627 13.9427 93.3314 0.4801 -6.64762 7.58333 3.0056 -3.94131 0.108129 2.64984e-09 
260 0.415319 135.614 99.9875 489.794 17.6173 14.5442 98.8344 0.467226 -6.7016 7.72399 3.06304 -4.08544 0.106623 2.62423e-09 
270 0.399936 134.73 98.3803 505.318 18.2178 15.0915 104.133 0.457216 -6.74588 7.86212 3.1161 -4.23233 0.105205 2.5998e-09 
280 0.385653 134.06 96.8914 521.428 18.8434 15.6655 109.667 0.446875 -6.78561 7.99783 3.16973 -4.38194 0.10394 2.57649e-09 
290 0.372355 133.469 95.4843 537.669 19.4696 16.2409 115.299 0.437124 -6.81955 8.13125 3.2225 -4.53419 0.102784 2.55419e-09 
300 0.359943 132.938 94.1497 553.998 20.094 16.8153 121.012 0.427975 -6.84773 8.26248 3.27429 -4.68903 0.101723 2.53282e-09 
310 0.348332 132.474 92.8834 570.463 20.7201 17.3924 126.828 0.419269 -6.87059 8.39163 3.32536 -4.8464 0.10075 2.51232e-09 
320 0.337446 132.146 91.6951 587.41 21.3705 17.9949 132.882 0.410362 -6.88958 8.51879 3.37703 -5.00625 0.09987 2.49264e-09 
330 0.327221 131.724 90.5338 603.831 21.9825 18.559 138.793 0.402957 -6.9014 8.64407 3.42585 -5.16852 0.0990282 2.47366e-09 
340 0.317597 131.351 89.4266 620.366 22.5944 19.124 144.78 0.395869 -6.90809 8.7675 3.47376 -5.33316 0.0982488 2.45546e-09 
350 0.308522 131.053 88.3738 637.166 23.2187 19.7021 150.934 0.388832 -6.91085 8.8892 3.52178 -5.50013 0.0975321 2.43787e-09 
360 0.299952 130.787 87.3643 654.041 23.8427 20.2806 157.171 0.382129 -6.90897 9.00922 3.56914 -5.66939 0.0968643 2.42091e-09 
370 0.291846 130.611 86.407 671.304 24.4881 20.8815 163.631 0.375269 -6.90373 9.12764 3.61697 -5.84088 0.0962539 2.40454e-09 
380 0.284165 130.397 85.474 688.316 25.1131 21.462 170.049 0.369175 -6.89324 9.24453 3.66329 -6.01457 0.0956701 2.38863e-09 
390 0.276879 130.214 84.579 705.435 25.7379 22.0434 176.526 0.363287 -6.87803 9.35988 3.70857 -6.19042 0.0951247 2.37339e-09 
400 0.269957 129.975 83.7009 722.196 26.3356 22.5975 182.918 0.358209 -6.85778 9.47385 3.75233 -6.36839 0.0945964 2.35847e-09 
410 0.263373 129.89 82.8787 739.768 26.9856 23.2053 189.739 0.352358 -6.83603 9.58642 3.79806 -6.54844 0.0941274 2.34409e-09 
420 0.257102 129.752 82.0722 757.009 27.6082 23.7857 196.451 0.347235 -6.80901 9.69766 3.84189 -6.73054 0.0936717 2.33012e-09 
430 0.251123 129.572 81.2819 773.954 28.2048 24.3404 203.059 0.342742 -6.77692 9.80761 3.88396 -6.91465 0.0932293 2.31653e-09 
440 0.245416 129.511 80.536 791.583 28.8475 24.9423 210.064 0.337661 -6.74334 9.91632 3.92777 -7.10074 0.0928331 2.30337e-09 
450 0.239962 129.426 79.8071 809.042 29.4744 25.5285 217.036 0.333029 -6.7054 10.0238 3.97035 -7.28878 0.0924509 2.29057e-09 
460 0.234745 129.337 79.0981 826.448 30.0928 26.1067 224.016 0.328681 -6.66342 10.1302 4.01199 -7.47873 0.0920856 2.27813e-09 
470 0.229751 129.217 78.4027 843.634 30.6921 26.6658 230.94 0.32478 -6.61731 10.2354 4.0525 -7.67057 0.0917304 2.26595e-09 
480 0.224964 129.2 77.744 861.473 31.3371 27.2718 238.265 0.320356 -6.56982 10.3395 4.09458 -7.86427 0.0914123 2.25417e-09 
490 0.220373 129.165 77.0992 879.177 31.969 27.8648 245.57 0.316275 -6.51847 10.4426 4.13569 -8.05979 0.0911045 2.24266e-09 
500 0.215966 129.098 76.4662 896.657 32.5794 28.4365 252.782 0.312603 -6.46282 10.5446 4.17534 -8.25712 0.0908036 2.23144e-09 
510 0.211731 129.019 75.8469 914.03 33.1781 28.9967 259.976 0.309197 -6.40355 10.6456 4.21413 -8.45622 0.0905125 2.22047e-09 
520 0.207659 128.987 75.2509 931.723 33.7989 29.5797 267.407 0.305621 -6.34218 10.7457 4.25355 -8.65707 0.090243 2.20979e-09 
530 0.203741 128.962 74.6704 949.451 34.4196 30.163 274.906 0.302159 -6.27777 10.8448 4.29259 -8.85964 0.0899858 2.19937e-09 
540 0.199968 128.976 74.1104 967.47 35.061 30.7675 282.635 0.298566 -6.21129 10.943 4.33217 -9.06391 0.0897473 2.1892e-09 
550 0.196332 128.958 73.5586 985.255 35.6805 31.3502 290.263 0.295331 -6.14093 11.0403 4.37045 -9.26986 0.0895118 2.17925e-09 
560 0.192827 128.917 73.0157 1002.84 36.2807 31.9137 297.804 0.292398 -6.0669 11.1368 4.40757 -9.47746 0.0892802 2.1695e-09 
570 0.189444 128.941 72.4956 1020.95 36.9207 32.5179 305.728 0.289129 -5.99175 11.2324 4.44605 -9.68669 0.0890711 2.16e-09 
580 0.186177 128.933 71.9822 1038.79 37.5367 33.098 313.527 0.286201 -5.91283 11.3272 4.48319 -9.89753 0.0888633 2.15069e-09 
590 0.183022 128.938 71.4821 1056.74 38.1592 33.685 321.445 0.283292 -5.8315 11.4211 4.52032 -10.11 0.0886659 2.14157e-09 
600 0.179971 128.957 70.9951 1074.81 38.789 34.2797 329.489 0.280394 -5.74782 11.5143 4.55745 -10.324 0.0884786 2.13265e-09 
610 0.177021 128.95 70.5146 1092.67 39.3971 34.8528 337.415 0.277773 -5.66058 11.6068 4.59333 -10.5395 0.0882926 2.12391e-09 
620 0.174166 128.961 70.0469 1110.67 40.0163 35.4373 345.499 0.275121 -5.57127 11.6984 4.62941 -10.7566 0.0881169 2.11535e-09 
