#Model parameters: ε_Inf=5.350000 ε_S=32.400000 freq=5.48451e+12 mb=0.082000 
#Params in SI: ω =3.44602e+13 mb=7.46969e-32 
#Alpha parameter: α = 1.094468  
# CsSnBr3 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus, rfsis
#  1    2     3    4     5     6   7    8  9   10  11  12  13  14 15
10 26.321465 6.18377e+13 3.45561e+12 3.52399e+12 3.00456 2.73128 1.56747 0.210119 -0.690154 1.1396 0.381378 -0.830819 2.19207e+10 1.34355e-08 
20 13.160733 1.17174e+08 1.28957e+07 1.33549e+07 2.8849 2.60004 1.56246 0.231127 -0.906812 1.1538 0.384803 -0.631795 42257.6 1.31863e-08 
30 8.773822 1.43135e+06 233695 244709 2.77822 2.47879 1.57408 0.256181 -1.09565 1.17029 0.390069 -0.46471 526.71 1.28924e-08 
40 6.580366 156623 33792.6 35702.4 2.74018 2.42097 1.64747 0.281086 -1.27077 1.19069 0.400906 -0.320823 58.7768 1.25154e-08 
50 5.264293 41215.8 11011.6 11744 2.75149 2.4092 1.76642 0.304331 -1.43467 1.21617 0.415008 -0.19651 15.748 1.21116e-08 
60 4.386911 16865.7 5332.38 5766.84 2.83887 2.47049 1.95586 0.320457 -1.59153 1.24662 0.43374 -0.0888331 6.52382 1.16914e-08 
70 3.760209 8894.84 3219.19 3548.28 2.96836 2.57316 2.19001 0.330759 -1.74036 1.28112 0.454204 0.00503474 3.46745 1.12979e-08 
80 3.290183 5503.83 2222.75 2509.2 3.12646 2.7047 2.45933 0.336184 -1.88144 1.31856 0.475298 0.0875814 2.15429 1.09416e-08 
90 2.924607 3790.81 1674.87 1944.26 3.30231 2.85479 2.7554 0.338093 -2.01511 1.358 0.496279 0.160837 1.4859 1.06238e-08 
100 2.632147 2815.88 1339.82 1604.71 3.49276 3.02043 3.07633 0.337206 -2.14207 1.39866 0.517009 0.226393 1.10302 1.03403e-08 
110 2.392860 2210.34 1118.45 1385.58 3.69364 3.19753 3.41878 0.334381 -2.26278 1.44 0.537305 0.285479 0.863995 1.00869e-08 
120 2.193455 1808.54 963.412 1236.77 3.90269 3.3838 3.78095 0.330212 -2.37776 1.4816 0.557123 0.339042 0.704726 9.85929e-09 
130 2.024728 1527.78 849.775 1131.84 4.11771 3.57697 4.16084 0.325199 -2.48741 1.52318 0.576418 0.387818 0.593083 9.65388e-09 
140 1.880105 1323.43 763.417 1055.87 4.33788 3.77618 4.55771 0.319626 -2.59214 1.56454 0.595218 0.432385 0.511591 9.46737e-09 
150 1.754764 1169.6 695.824 999.797 4.56204 3.98017 4.9704 0.313753 -2.69228 1.60554 0.613532 0.473203 0.450117 9.2971e-09 
160 1.645092 1050.59 641.612 957.935 4.78966 4.18837 5.3984 0.307734 -2.78814 1.6461 0.631397 0.510642 0.402464 9.14079e-09 
170 1.548321 956.372 597.235 926.524 5.0201 4.40008 5.84072 0.30168 -2.87997 1.68616 0.648807 0.545005 0.364673 8.99678e-09 
180 1.462304 880.279 560.265 902.972 5.25281 4.61466 6.29687 0.295695 -2.96802 1.72567 0.665805 0.576543 0.334115 8.86334e-09 
190 1.385340 817.798 529.003 885.484 5.48763 4.83193 6.76655 0.289818 -3.0525 1.76462 0.68242 0.605466 0.308992 8.73922e-09 
200 1.316073 766.42 502.314 873.53 5.74108 5.06841 7.27121 0.28305 -3.13439 1.80299 0.699448 0.631953 0.28806 8.62298e-09 
210 1.253403 722.793 479.159 864.997 5.98858 5.29946 7.77874 0.276978 -3.21264 1.84079 0.715694 0.656156 0.270377 8.51474e-09 
220 1.196430 684.314 458.703 857.945 6.2011 5.4957 8.25091 0.273184 -3.28634 1.87803 0.730104 0.678208 0.255222 8.41293e-09 
230 1.144412 652.011 440.768 854.603 6.4415 5.7204 8.76998 0.268007 -3.35829 1.9147 0.745361 0.698225 0.242186 8.31684e-09 
240 1.096728 623.923 424.804 853.343 6.68264 5.94621 9.3002 0.263034 -3.42744 1.95082 0.760311 0.71631 0.230844 8.22606e-09 
250 1.052859 599.317 410.495 853.842 6.9248 6.17341 9.84189 0.258243 -3.49395 1.98641 0.774988 0.732553 0.220899 8.14007e-09 
260 1.012364 577.6 397.586 855.818 7.16752 6.40149 10.3942 0.253647 -3.5579 2.02148 0.789391 0.747036 0.212116 8.05846e-09 
270 0.974869 558.318 385.874 859.067 7.41111 6.63076 10.9575 0.249222 -3.61941 2.05604 0.803546 0.759832 0.204312 7.98085e-09 
280 0.940052 541.102 375.191 863.413 7.65566 6.86127 11.532 0.24496 -3.67859 2.0901 0.817484 0.771007 0.197336 7.90683e-09 
290 0.907637 526.1 365.479 869.456 7.92388 7.11591 12.1517 0.239982 -3.73637 2.12369 0.832056 0.780623 0.191098 7.83634e-09 
300 0.877382 512.117 356.463 875.532 8.16904 7.34757 12.7464 0.236102 -3.79106 2.15682 0.845505 0.788735 0.185437 7.76883e-09 
310 0.849080 499.432 348.128 882.307 8.41387 7.57915 13.3497 0.232397 -3.84361 2.1895 0.858716 0.795393 0.180302 7.70417e-09 
320 0.822546 487.913 340.402 889.761 8.66051 7.81277 13.965 0.228786 -3.89418 2.22175 0.871781 0.800645 0.175627 7.64216e-09 
330 0.797620 477.393 333.21 897.782 8.90775 8.04721 14.5904 0.225308 -3.94279 2.25358 0.884676 0.804535 0.171354 7.58254e-09 
340 0.774161 467.74 326.495 906.284 9.15454 8.28141 15.2239 0.221981 -3.98946 2.28501 0.897351 0.807103 0.167433 7.52523e-09 
350 0.752042 458.495 320.141 914.499 9.37523 8.48949 15.8234 0.219552 -4.03339 2.31604 0.908965 0.808387 0.163797 7.46972e-09 
360 0.731152 450.349 314.244 923.917 9.62455 8.72659 16.4785 0.216385 -4.07651 2.34669 0.9214 0.808423 0.16047 7.41644e-09 
370 0.711391 443.104 308.747 934.304 9.89655 8.98678 17.1795 0.212717 -4.11858 2.37697 0.934364 0.807243 0.157412 7.36547e-09 
380 0.692670 435.743 303.445 943.616 10.1161 9.19428 17.8012 0.210578 -4.15724 2.4069 0.945464 0.804881 0.154524 7.31555e-09 
390 0.674909 429.538 298.547 954.658 10.3909 9.45759 18.5252 0.20711 -4.19604 2.43648 0.958198 0.801364 0.151887 7.26791e-09 
400 0.658037 423.165 293.8 964.609 10.6124 9.66732 19.1656 0.205074 -4.23152 2.46573 0.969073 0.79672 0.149381 7.22119e-09 
410 0.641987 417.804 289.401 976.197 10.8895 9.93334 19.9109 0.201791 -4.26717 2.49465 0.981543 0.790978 0.147087 7.17667e-09 
420 0.626702 412.189 285.11 986.567 11.1081 10.1405 20.5619 0.199962 -4.29949 2.52325 0.992083 0.78416 0.144889 7.13268e-09 
430 0.612127 407.534 281.133 998.65 11.3893 10.4107 21.3318 0.196817 -4.33223 2.55155 1.00438 0.776292 0.142877 7.09085e-09 
440 0.598215 402.824 277.277 1010.06 11.6348 10.6453 22.0465 0.194547 -4.36244 2.57955 1.01549 0.767396 0.140958 7.04975e-09 
450 0.584921 398.262 273.571 1021.32 11.8651 10.8647 22.7402 0.192646 -4.39073 2.60727 1.02597 0.757494 0.13914 7.00976e-09 
460 0.572206 394.011 270.033 1032.87 12.1015 11.0902 23.4533 0.190689 -4.41788 2.6347 1.03658 0.746605 0.137429 6.97078e-09 
470 0.560031 390.337 266.705 1045.49 12.3784 11.3568 24.2493 0.188013 -4.44485 2.66186 1.04823 0.734751 0.135842 6.93342e-09 
