#Model parameters: ε_Inf=4.800000 ε_S=29.400000 freq=7.28271e+12 mb=0.140000 
#Params in SI: ω =4.57586e+13 mb=1.27531e-31 
#Alpha parameter: α = 1.386311  
# CsSnCl3 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus, rfsis
#  1    2     3    4     5     6   7    8  9   10  11  12  13  14 15
10 34.951454 1.13654e+17 4.81294e+15 4.87766e+15 3.07284 2.72144 2.0361 0.274917 -0.748073 1.45224 0.487704 -1.19187 7.24692e+13 1.37376e-08 
20 17.475727 2.88208e+09 2.41512e+08 2.47379e+08 2.98524 2.62286 2.03225 0.295412 -0.924656 1.46585 0.491002 -1.0322 1.86724e+06 1.35532e-08 
30 11.650485 8.37116e+06 1.04415e+06 1.07779e+06 2.8985 2.52346 2.03347 0.319335 -1.07964 1.48079 0.495007 -0.896155 5523.66 1.33509e-08 
40 8.737863 446846 73941.8 76708.5 2.83329 2.44255 2.06148 0.345536 -1.22278 1.49766 0.50161 -0.776487 300.704 1.31098e-08 
50 6.990291 76362.6 15750.7 16386.2 2.78336 2.37433 2.10964 0.374219 -1.35697 1.51741 0.510026 -0.670463 52.4836 1.28446e-08 
60 5.825242 23380.2 5768.31 6020.39 2.78648 2.35526 2.21719 0.39969 -1.48726 1.5407 0.523241 -0.576686 16.3669 1.25363e-08 
70 4.993065 9999.6 2863.33 3004.05 2.83093 2.37509 2.37309 0.420681 -1.61348 1.56766 0.539748 -0.493921 7.10502 1.22137e-08 
80 4.368932 5276.18 1712.64 1811.49 2.90646 2.42478 2.56794 0.436757 -1.73537 1.59794 0.558281 -0.420853 3.79131 1.18968e-08 
90 3.883495 3205.51 1157.17 1238.13 3.00631 2.49839 2.79595 0.44793 -1.85288 1.631 0.578043 -0.356168 2.3213 1.15956e-08 
100 3.495145 2150.9 850.146 923.095 3.12263 2.58869 3.0495 0.45506 -1.96584 1.66626 0.598243 -0.298659 1.56526 1.13159e-08 
110 3.177405 1552.21 663.08 732.772 3.25157 2.69214 3.32508 0.458784 -2.07443 1.70316 0.618538 -0.247272 1.13247 1.10583e-08 
120 2.912621 1183.42 540.497 609.461 3.39025 2.80602 3.62004 0.45976 -2.17884 1.74125 0.638715 -0.201123 0.863986 1.08218e-08 
130 2.688573 941.407 455.537 525.227 3.53644 2.92819 3.93214 0.458598 -2.27929 1.78014 0.658628 -0.15948 0.686751 1.0605e-08 
140 2.496532 774.934 394.012 465.606 3.69658 3.06502 4.27035 0.454567 -2.37662 1.81954 0.678817 -0.121743 0.563748 1.04042e-08 
150 2.330097 654.876 347.795 421.577 3.85415 3.20013 4.61366 0.450516 -2.46988 1.85922 0.698081 -0.0874234 0.475082 1.02208e-08 
160 2.184466 565.264 312.033 388.148 4.00709 3.33141 4.95845 0.446776 -2.55919 1.899 0.71631 -0.0561196 0.409015 1.00527e-08 
170 2.055968 497.147 283.717 362.71 4.1717 3.47502 5.32732 0.441158 -2.646 1.93872 0.734786 -0.0275018 0.35833 9.89563e-09 
180 1.941747 443.859 260.808 342.881 4.33916 3.62214 5.70844 0.435099 -2.72989 1.97829 0.752896 -0.0012972 0.318576 9.74957e-09 
190 1.839550 401.33 241.945 327.251 4.50923 3.77248 6.10156 0.428734 -2.81102 2.01763 0.770663 0.0227214 0.286774 9.61329e-09 
200 1.747573 366.78 226.171 314.82 4.681 3.92511 6.50524 0.42224 -2.88947 2.05669 0.788043 0.0447447 0.260895 9.48591e-09 
210 1.664355 338.3 212.805 304.893 4.8549 4.08041 6.92027 0.415638 -2.96546 2.09541 0.805116 0.0649339 0.23952 9.36634e-09 
220 1.588702 314.496 201.344 296.936 5.03003 4.23745 7.34526 0.409071 -3.03904 2.13377 0.821849 0.0834262 0.221633 9.25387e-09 
230 1.519628 294.377 191.416 290.575 5.20676 4.39655 7.78068 0.402526 -3.11036 2.17174 0.838284 0.100339 0.206491 9.1478e-09 
240 1.456311 277.389 182.762 285.711 5.39433 4.567 8.24128 0.395123 -3.18008 2.20931 0.854999 0.115775 0.193548 9.04718e-09 
250 1.398058 262.373 175.081 281.505 5.56352 4.71935 8.68052 0.389745 -3.24657 2.24647 0.870279 0.129823 0.182365 8.95249e-09 
260 1.344287 249.719 168.315 278.645 5.75663 4.89614 9.16658 0.382383 -3.31243 2.28322 0.886652 0.142559 0.17265 8.8618e-09 
270 1.294498 238.202 162.202 276.017 5.92354 5.04695 9.61665 0.377543 -3.37477 2.31956 0.901158 0.154053 0.164111 8.77648e-09 
280 1.248266 228.251 156.732 274.282 6.10492 5.21262 10.0986 0.371664 -3.4361 2.35548 0.916251 0.164366 0.156584 8.69461e-09 
290 1.205223 219.444 151.786 273.116 6.2885 5.38083 10.5919 0.365826 -3.49573 2.391 0.931183 0.173551 0.149901 8.61646e-09 
300 1.165048 211.767 147.319 272.649 6.48642 5.56384 11.1174 0.359131 -3.55436 2.4261 0.946598 0.181657 0.143948 8.54168e-09 
310 1.127466 204.633 143.197 272.247 6.66533 5.7279 11.6178 0.354107 -3.61033 2.46082 0.960781 0.188729 0.138585 8.47013e-09 
320 1.092233 198.121 139.401 272.086 6.83717 5.88511 12.1123 0.349718 -3.66428 2.49514 0.974338 0.194805 0.133739 8.40167e-09 
