#Model parameters: ε_Inf=4.500000 ε_S=24.100000 freq=2.25e+12 mb=0.120000 
#Params in SI: ω =1.41372e+13 mb=1.09313e-31 
#Alpha parameter: α = 2.393991  
# MAPI-electron 
# Ts, βreds, Kμs, Hμs, FHIPμs, vs, ws, ks, Ms, As, Bs, Cs, Fs, Taus, rfsis
#  1    2     3    4     5     6   7    8  9   10  11  12  13  14 15
10 10.798284 5.9535e+06 823637 827006 3.06536 2.33988 3.92137 0.716227 -1.59901 2.66327 0.90147 -1.96573 4380.13 5.49551e-09 
20 5.399142 24168.8 6881.12 6714.63 3.05118 2.19301 4.5004 0.935774 -2.08283 2.79976 0.971927 -1.68885 20.0563 5.11793e-09 
30 3.599428 3692.7 1571.84 1538.87 3.3919 2.37448 5.86686 1.04057 -2.52871 2.98826 1.08475 -1.5443 3.23023 4.72612e-09 
40 2.699571 1444.65 781.905 802.713 3.87652 2.71334 7.66518 1.04115 -2.92202 3.20332 1.19966 -1.48097 1.26409 4.42024e-09 
50 2.159657 834.116 523.572 579.339 4.42024 3.12925 9.74632 0.995313 -3.26948 3.4255 1.30747 -1.46349 0.713472 4.1859e-09 
60 1.799714 586.597 404.368 488.908 4.99416 3.58994 12.054 0.935312 -3.58 3.64558 1.40786 -1.47344 0.486665 4.00085e-09 
70 1.542612 461.332 337.736 448.588 5.58532 4.07896 14.5579 0.87498 -3.86016 3.85979 1.50178 -1.5014 0.370809 3.85001e-09 
80 1.349786 388.522 295.658 431.759 6.18737 4.58742 17.2391 0.819178 -4.11471 4.0668 1.59021 -1.5423 0.302991 3.72376e-09 
90 1.199809 342.62 266.866 428.343 6.81102 5.1246 20.1284 0.766457 -4.34838 4.26633 1.67525 -1.5932 0.259451 3.61566e-09 
100 1.079828 310.294 245.619 431.033 7.40987 5.64166 23.0779 0.725075 -4.55994 4.45869 1.75356 -1.65231 0.229468 3.52203e-09 
110 0.981662 287.521 229.445 439.337 8.02675 6.18165 26.216 0.686051 -4.75539 4.64421 1.82966 -1.71848 0.207816 3.43933e-09 
120 0.899857 271.015 216.705 451.764 8.66673 6.74894 29.5641 0.649073 -4.93691 4.82338 1.90441 -1.79088 0.19159 3.36536e-09 
130 0.830637 257.811 206.176 465.566 9.28334 7.2956 32.9546 0.619148 -5.10202 4.9967 1.97425 -1.86893 0.178948 3.29898e-09 
140 0.771306 247.62 197.424 481.56 9.9105 7.85635 36.4958 0.591291 -5.25425 5.16453 2.04192 -1.95219 0.168918 3.23901e-09 
150 0.719886 239.355 189.923 498.734 10.5381 8.41914 40.1691 0.566705 -5.3952 5.32746 2.10806 -2.04032 0.160757 3.18362e-09 
160 0.674893 233.043 183.534 517.955 11.194 9.01382 44.0567 0.542244 -5.52609 5.48566 2.17346 -2.13303 0.154074 3.13309e-09 
170 0.635193 226.904 177.702 535.832 11.7836 9.54221 47.8003 0.524968 -5.64245 5.63966 2.23286 -2.23007 0.148335 3.0861e-09 
180 0.599905 221.993 172.583 555.071 12.3921 10.0919 51.7183 0.507804 -5.75009 5.78964 2.29171 -2.33126 0.143491 3.04255e-09 
190 0.568331 218.159 168.066 575.789 13.0305 10.6739 55.8621 0.490314 -5.85031 5.93587 2.35085 -2.43641 0.139377 3.00198e-09 
200 0.539914 214.482 163.89 595.878 13.6289 11.2166 59.9343 0.476377 -5.93923 6.07864 2.40596 -2.54537 0.135746 2.96401e-09 
210 0.514204 211.545 160.136 617.104 14.2529 11.7868 64.2163 0.462229 -6.02159 6.21816 2.46143 -2.658 0.132604 2.92829e-09 
220 0.490831 208.995 156.692 638.696 14.8766 12.358 68.5937 0.449144 -6.09608 6.35463 2.51561 -2.77416 0.129833 2.89465e-09 
230 0.469491 206.769 153.516 660.619 15.5009 12.9309 73.0683 0.436987 -6.16315 6.48825 2.56866 -2.89376 0.127373 2.86286e-09 
240 0.449929 205.059 150.622 683.639 16.158 13.5385 77.7912 0.424416 -6.22497 6.61915 2.62248 -3.01667 0.125215 2.83279e-09 
250 0.431931 203.078 147.824 705.243 16.7472 14.0779 82.282 0.415175 -6.27611 6.74753 2.67139 -3.1428 0.1232 2.80417e-09 
260 0.415319 201.55 145.26 727.936 17.3713 14.6538 87.0274 0.405281 -6.32273 6.87349 2.72132 -3.27207 0.121419 2.77699e-09 
270 0.399936 200.167 142.849 750.747 17.9912 15.2265 91.8383 0.39612 -6.36285 6.99716 2.77006 -3.40438 0.1198 2.75109e-09 
280 0.385653 198.965 140.585 773.875 18.617 15.8059 96.7665 0.387335 -6.39736 7.11868 2.81833 -3.53965 0.118331 2.72633e-09 
290 0.372355 197.873 138.446 797.114 19.2398 16.3832 101.763 0.379132 -6.4259 7.23813 2.86557 -3.67781 0.116985 2.70267e-09 
300 0.359943 197.045 136.451 821.15 19.8923 16.9913 106.998 0.370614 -6.45042 7.35563 2.91358 -3.81879 0.115776 2.68004e-09 
310 0.348332 196 134.498 844.024 20.4836 17.5381 111.99 0.364094 -6.46638 7.47125 2.95764 -3.96252 0.114615 2.65827e-09 
320 0.337446 195.345 132.699 868.34 21.1367 18.1484 117.396 0.356431 -6.48036 7.5851 3.00419 -4.10893 0.11359 2.63742e-09 
330 0.327221 194.478 130.93 891.499 21.7277 18.6964 122.541 0.350562 -6.48617 7.69723 3.04691 -4.25797 0.112596 2.6173e-09 
340 0.317597 193.827 129.268 915.438 22.3508 19.2774 127.939 0.344274 -6.48879 7.80774 3.09062 -4.40957 0.111697 2.59796e-09 
350 0.308522 193.223 127.678 939.428 22.9705 19.8557 133.393 0.338347 -6.48651 7.91668 3.13353 -4.56369 0.110858 2.57932e-09 
360 0.299952 192.764 126.171 963.971 23.6135 20.4582 139.059 0.33225 -6.48085 8.02412 3.177 -4.72027 0.110091 2.56134e-09 
370 0.291846 192.281 124.713 988.269 24.2381 21.0427 144.689 0.326763 -6.46973 8.13011 3.21888 -4.87926 0.109363 2.544e-09 
